T,Delta,pO2
321.83801,-1.85E-05,0.028
321.89899,-2.55E-05,0.028
321.96899,-2.55E-05,0.028
322.03601,-2.43E-05,0.028
322.10901,-2.78E-05,0.028
322.18399,-2.78E-05,0.028
322.255,-2.08E-05,0.028
322.32001,-9.13E-06,0.028
322.39401,-1.15E-05,0.028
322.46301,-1.73E-05,0.028
322.53201,-3.01E-05,0.028
322.608,-1.26E-05,0.028
322.67499,-9.61E-07,0.028
322.74799,-5.63E-06,0.028
322.81201,-4.46E-06,0.028
322.884,-2.55E-05,0.028
322.94199,-3.25E-05,0.028
323.01801,-4.06E-05,0.028
323.08899,-4.18E-05,0.028
323.155,-3.25E-05,0.028
323.23199,-4.88E-05,0.028
323.30701,-3.83E-05,0.028
323.379,-2.20E-05,0.028
323.444,-1.85E-05,0.028
323.51199,-2.43E-05,0.028
323.57901,-1.73E-05,0.028
323.64801,-1.15E-05,0.028
323.71799,-1.15E-05,0.028
323.79199,-1.61E-05,0.028
323.85599,-2.08E-05,0.028
323.92499,-2.08E-05,0.028
323.98901,-2.90E-05,0.028
324.065,-2.78E-05,0.028
324.133,-3.01E-05,0.028
324.202,-3.13E-05,0.028
324.26801,-2.90E-05,0.028
324.33499,-2.90E-05,0.028
324.414,-2.20E-05,0.028
324.487,-1.73E-05,0.028
324.54599,-1.38E-05,0.028
324.617,-9.61E-07,0.028
324.69,2.54E-06,0.028
324.754,3.71E-06,0.028
324.832,-1.15E-05,0.028
324.892,-1.85E-05,0.028
324.96201,-1.15E-05,0.028
325.034,-1.73E-05,0.028
325.10699,-2.78E-05,0.028
325.17801,-2.78E-05,0.028
325.241,-3.01E-05,0.028
325.31299,-3.36E-05,0.028
325.367,-3.60E-05,0.028
325.435,-3.48E-05,0.028
325.51099,-3.60E-05,0.028
325.58899,-3.25E-05,0.028
325.65302,-2.43E-05,0.028
325.716,-9.13E-06,0.028
325.79999,-3.29E-06,0.028
325.862,-1.15E-05,0.028
325.92599,2.54E-06,0.028
325.99899,-3.29E-06,0.028
326.065,-3.01E-05,0.028
326.13501,-5.11E-05,0.028
326.20801,-4.18E-05,0.028
326.27499,-3.60E-05,0.028
326.345,-6.40E-05,0.028
326.409,-6.51E-05,0.028
326.48599,-5.35E-05,0.028
326.55099,-4.41E-05,0.028
326.61499,-4.53E-05,0.028
326.686,-3.60E-05,0.028
326.75,-1.61E-05,0.028
326.823,-3.29E-06,0.028
326.88599,-2.13E-06,0.028
326.96301,-9.61E-07,0.028
327.022,-9.61E-07,0.028
327.091,-1.50E-05,0.028
327.15701,-2.90E-05,0.028
327.23499,-2.78E-05,0.028
327.311,-3.60E-05,0.028
327.367,-3.95E-05,0.028
327.44299,-4.30E-05,0.028
327.50101,-4.06E-05,0.028
327.57999,-3.01E-05,0.028
327.647,-3.25E-05,0.028
327.71799,-4.18E-05,0.028
327.79001,-4.41E-05,0.028
327.85999,-3.01E-05,0.028
327.92599,-1.85E-05,0.028
327.99701,-1.38E-05,0.028
328.06201,2.70E-05,0.028
328.129,1.30E-05,0.028
328.19501,-3.25E-05,0.028
328.26599,-7.45E-05,0.028
328.332,-8.15E-05,0.028
328.401,-6.86E-05,0.028
328.465,-5.93E-05,0.028
328.535,-4.76E-05,0.028
328.60699,-5.81E-05,0.028
328.67801,-5.35E-05,0.028
328.74799,-4.41E-05,0.028
328.814,-3.83E-05,0.028
328.88101,-3.36E-05,0.028
328.94901,-1.85E-05,0.028
329.02499,-1.61E-05,0.028
329.08499,-2.43E-05,0.028
329.15799,-2.55E-05,0.028
329.224,-3.25E-05,0.028
329.29999,-3.01E-05,0.028
329.366,-3.25E-05,0.028
329.43399,-3.71E-05,0.028
329.49399,-3.36E-05,0.028
329.56799,-3.48E-05,0.028
329.63699,-4.41E-05,0.028
329.70599,-5.46E-05,0.028
329.771,-3.13E-05,0.028
329.84299,-2.66E-05,0.028
329.91,-2.31E-05,0.028
329.97299,-3.25E-05,0.028
330.04099,-3.83E-05,0.028
330.11401,-7.33E-05,0.028
330.18201,-4.18E-05,0.028
330.25201,1.54E-05,0.028
330.32001,-3.01E-05,0.028
330.39401,-4.06E-05,0.028
330.45801,-5.70E-05,0.028
330.52499,-6.51E-05,0.028
330.60599,-4.30E-05,0.028
330.659,-5.11E-05,0.028
330.729,-5.46E-05,0.028
330.79099,-5.35E-05,0.028
330.86499,-5.93E-05,0.028
330.92499,-5.35E-05,0.028
330.99701,-4.41E-05,0.028
331.07199,-2.78E-05,0.028
331.12399,-2.66E-05,0.028
331.20499,-2.66E-05,0.028
331.26901,-3.13E-05,0.028
331.34601,-3.71E-05,0.028
331.39899,-3.83E-05,0.028
331.478,-5.11E-05,0.028
331.54401,-5.81E-05,0.028
331.60999,-6.28E-05,0.028
331.67801,-8.50E-05,0.028
331.75,-7.21E-05,0.028
331.82101,-5.23E-05,0.028
331.879,-2.90E-05,0.028
331.953,-2.31E-05,0.028
332.01901,-1.85E-05,0.028
332.09,-1.96E-05,0.028
332.15201,-1.73E-05,0.028
332.22198,-1.61E-05,0.028
332.29199,-2.31E-05,0.028
332.35901,-4.41E-05,0.028
332.42599,-5.93E-05,0.028
332.487,-7.80E-05,0.028
332.564,-7.21E-05,0.028
332.62701,-6.16E-05,0.028
332.69,-7.80E-05,0.028
332.76401,-5.70E-05,0.028
332.836,-4.76E-05,0.028
332.90601,-4.65E-05,0.028
332.96799,-3.71E-05,0.028
333.035,-2.66E-05,0.028
333.10599,-3.36E-05,0.028
333.172,-3.36E-05,0.028
333.246,-3.13E-05,0.028
333.31,-3.25E-05,0.028
333.375,-4.76E-05,0.028
333.44501,-6.86E-05,0.028
333.51999,-5.93E-05,0.028
333.58301,-6.40E-05,0.028
333.65201,-5.70E-05,0.028
333.72198,-5.35E-05,0.028
333.797,-5.93E-05,0.028
333.86099,-7.21E-05,0.028
333.922,-7.21E-05,0.028
333.996,-6.40E-05,0.028
334.064,-5.11E-05,0.028
334.133,-4.41E-05,0.028
334.198,-3.60E-05,0.028
334.26501,-4.18E-05,0.028
334.332,-4.18E-05,0.028
334.397,-3.95E-05,0.028
334.47299,-5.00E-05,0.028
334.54001,-6.63E-05,0.028
334.59799,-6.63E-05,0.028
334.67001,-6.40E-05,0.028
334.73801,-5.93E-05,0.028
334.806,-5.81E-05,0.028
334.87201,-5.23E-05,0.028
334.939,-5.35E-05,0.028
334.99899,-5.23E-05,0.028
335.073,-5.11E-05,0.028
335.13599,-4.18E-05,0.028
335.20801,-4.18E-05,0.028
335.27399,-4.65E-05,0.028
335.34,-5.00E-05,0.028
335.40302,-5.35E-05,0.028
335.474,-5.70E-05,0.028
335.539,-5.93E-05,0.028
335.61301,-6.63E-05,0.028
335.66699,-6.86E-05,0.028
335.73401,-7.80E-05,0.028
335.81,-8.38E-05,0.028
335.87601,-8.03E-05,0.028
335.94501,-7.21E-05,0.028
336.01801,-6.16E-05,0.028
336.082,-5.70E-05,0.028
336.151,-5.81E-05,0.028
336.20901,-5.93E-05,0.028
336.28699,-5.93E-05,0.028
336.35599,-4.88E-05,0.028
336.42499,-3.60E-05,0.028
336.48999,-4.65E-05,0.028
336.55899,-5.35E-05,0.028
336.62701,-5.93E-05,0.028
336.69,-5.35E-05,0.028
336.75201,-4.06E-05,0.028
336.828,-5.46E-05,0.028
336.89301,-6.51E-05,0.028
336.957,-6.75E-05,0.028
337.02399,-6.63E-05,0.028
337.095,-6.75E-05,0.028
337.16299,-2.90E-05,0.028
337.23499,-5.35E-05,0.028
337.29501,-6.16E-05,0.028
337.35599,-4.65E-05,0.028
337.43799,-5.11E-05,0.028
337.5,-4.18E-05,0.028
337.56699,-4.30E-05,0.028
337.63501,-6.28E-05,0.028
337.707,-9.43E-05,0.028
337.77399,-7.80E-05,0.028
337.83499,-6.75E-05,0.028
337.90701,-7.45E-05,0.028
337.97198,-6.16E-05,0.028
338.039,-5.81E-05,0.028
338.11301,-6.28E-05,0.028
338.17401,-5.46E-05,0.028
338.245,-5.93E-05,0.028
338.31299,-6.28E-05,0.028
338.37799,-6.75E-05,0.028
338.44,-5.23E-05,0.028
338.51099,-5.23E-05,0.028
338.57999,-8.38E-05,0.028
338.647,-7.21E-05,0.028
338.71399,-6.05E-05,0.028
338.784,-8.26E-05,0.028
338.85101,-8.96E-05,0.028
338.922,-8.50E-05,0.028
338.98599,-6.86E-05,0.028
339.056,-6.28E-05,0.028
339.12601,-6.40E-05,0.028
339.186,-5.93E-05,0.028
339.26001,-5.23E-05,0.028
339.332,-3.83E-05,0.028
339.39999,-4.30E-05,0.028
339.466,-6.05E-05,0.028
339.52899,-7.10E-05,0.028
339.58801,-8.03E-05,0.028
339.66199,-7.80E-05,0.028
339.737,-6.05E-05,0.028
339.797,-5.81E-05,0.028
339.867,-7.80E-05,0.028
339.93399,-8.85E-05,0.028
340.00601,-8.03E-05,0.028
340.06699,-9.31E-05,0.028
340.138,-8.85E-05,0.028
340.20901,-7.45E-05,0.028
340.27301,-6.86E-05,0.028
340.33401,-5.93E-05,0.028
340.40302,-6.40E-05,0.028
340.46799,-5.93E-05,0.028
340.54099,-5.46E-05,0.028
340.608,-5.46E-05,0.028
340.673,-7.33E-05,0.028
340.746,-7.80E-05,0.028
340.811,-8.96E-05,0.028
340.88501,-8.50E-05,0.028
340.935,-8.03E-05,0.028
341.00101,-7.21E-05,0.028
341.073,-7.56E-05,0.028
341.138,-7.21E-05,0.028
341.21399,-6.28E-05,0.028
341.28201,-6.16E-05,0.028
341.349,-6.98E-05,0.028
341.42401,-6.51E-05,0.028
341.479,-6.40E-05,0.028
341.54401,-6.40E-05,0.028
341.617,-8.61E-05,0.028
341.68301,-1.05E-04,0.028
341.74899,-7.56E-05,0.028
341.82101,-6.40E-05,0.028
341.88501,-7.56E-05,0.028
341.95401,-7.33E-05,0.028
342.03299,-7.33E-05,0.028
342.08099,-7.56E-05,0.028
342.14899,-7.45E-05,0.028
342.22,-7.33E-05,0.028
342.28799,-7.10E-05,0.028
342.349,-6.98E-05,0.028
342.405,-7.10E-05,0.028
342.48599,-6.51E-05,0.028
342.556,-7.21E-05,0.028
342.61801,-8.38E-05,0.028
342.68799,-7.56E-05,0.028
342.75201,-8.03E-05,0.028
342.82101,-9.31E-05,0.028
342.89001,-8.61E-05,0.028
342.95901,-7.91E-05,0.028
343.02499,-9.43E-05,0.028
343.09201,-9.90E-05,0.028
343.155,-9.08E-05,0.028
343.224,-7.21E-05,0.028
343.285,-7.21E-05,0.028
343.35199,-8.03E-05,0.028
343.423,-7.21E-05,0.028
343.48801,-6.98E-05,0.028
343.561,-6.75E-05,0.028
343.625,-7.21E-05,0.028
343.694,-7.91E-05,0.028
343.76501,-6.86E-05,0.028
343.82401,-8.61E-05,0.028
343.89099,-8.96E-05,0.028
343.95901,-8.50E-05,0.028
344.026,-8.38E-05,0.028
344.09299,-8.73E-05,0.028
344.16599,-8.96E-05,0.028
344.24399,-9.55E-05,0.028
344.29999,-9.43E-05,0.028
344.37399,-7.91E-05,0.028
344.439,-8.03E-05,0.028
344.509,-7.21E-05,0.028
344.57199,-6.28E-05,0.028
344.64301,-6.86E-05,0.028
344.71201,-8.38E-05,0.028
344.76901,-9.31E-05,0.028
344.83899,-8.61E-05,0.028
344.897,-7.45E-05,0.028
344.97299,-7.10E-05,0.028
345.05099,-8.38E-05,0.028
345.10599,-8.85E-05,0.028
345.173,-8.96E-05,0.028
345.241,-9.31E-05,0.028
345.30899,-8.38E-05,0.028
345.375,-7.21E-05,0.028
345.45001,-7.21E-05,0.028
345.50601,-8.03E-05,0.028
345.58301,-8.03E-05,0.028
345.64001,-7.21E-05,0.028
345.70801,-6.51E-05,0.028
345.78,-7.21E-05,0.028
345.841,-1.04E-04,0.028
345.89999,-1.01E-04,0.028
345.97501,-9.55E-05,0.028
346.04501,-9.20E-05,0.028
346.108,-9.31E-05,0.028
346.177,-9.90E-05,0.028
346.24301,-7.91E-05,0.028
346.31,-7.80E-05,0.028
346.38501,-8.96E-05,0.028
346.444,-8.61E-05,0.028
346.51001,-8.85E-05,0.028
346.577,-8.61E-05,0.028
346.64001,-7.33E-05,0.028
346.716,-6.86E-05,0.028
346.77802,-8.73E-05,0.028
346.84,-9.31E-05,0.028
346.91,-9.31E-05,0.028
346.97,-9.31E-05,0.028
347.04099,-8.96E-05,0.028
347.11301,-9.08E-05,0.028
347.17499,-1.11E-04,0.028
347.24301,-8.96E-05,0.028
347.306,-7.45E-05,0.028
347.37799,-7.80E-05,0.028
347.45099,-8.50E-05,0.028
347.508,-9.55E-05,0.028
347.56601,-9.78E-05,0.028
347.646,-7.80E-05,0.028
347.70999,-7.80E-05,0.028
347.77899,-8.61E-05,0.028
347.84799,-9.08E-05,0.028
347.91501,-1.09E-04,0.028
347.98401,-9.55E-05,0.028
348.04901,-9.55E-05,0.028
348.12,-1.08E-04,0.028
348.18201,-1.02E-04,0.028
348.258,-9.20E-05,0.028
348.32501,-6.51E-05,0.028
348.39001,-9.31E-05,0.028
348.45599,-1.11E-04,0.028
348.51801,-9.66E-05,0.028
348.582,-8.03E-05,0.028
348.64401,-1.06E-04,0.028
348.71399,-1.20E-04,0.028
348.78,-1.12E-04,0.028
348.849,-1.15E-04,0.028
348.923,-1.21E-04,0.028
348.98801,-1.09E-04,0.028
349.05099,-1.07E-04,0.028
349.12601,-1.11E-04,0.028
349.18399,-1.13E-04,0.028
349.24899,-1.02E-04,0.028
349.32101,-9.31E-05,0.028
349.38699,-8.73E-05,0.028
349.45901,-8.85E-05,0.028
349.522,-9.90E-05,0.028
349.58801,-9.55E-05,0.028
349.651,-9.66E-05,0.028
349.71701,-9.55E-05,0.028
349.78299,-1.00E-04,0.028
349.858,-1.11E-04,0.028
349.91199,-1.14E-04,0.028
349.987,-1.22E-04,0.028
350.04999,-1.20E-04,0.028
350.12201,-9.78E-05,0.028
350.19299,-1.15E-04,0.028
350.25299,-1.05E-04,0.028
350.32001,-8.85E-05,0.028
350.38699,-8.38E-05,0.028
350.45001,-8.38E-05,0.028
350.51001,-9.20E-05,0.028
350.586,-9.20E-05,0.028
350.647,-9.43E-05,0.028
350.70801,-1.01E-04,0.028
350.77802,-9.55E-05,0.028
350.84601,-1.01E-04,0.028
350.90701,-1.30E-04,0.028
350.98499,-1.15E-04,0.028
351.052,-1.08E-04,0.028
351.12201,-1.16E-04,0.028
351.18201,-1.18E-04,0.028
351.25699,-1.11E-04,0.028
351.32101,-1.06E-04,0.028
351.384,-1.05E-04,0.028
351.45401,-1.04E-04,0.028
351.526,-1.01E-04,0.028
351.591,-1.01E-04,0.028
351.64999,-1.02E-04,0.028
351.71799,-1.01E-04,0.028
351.78699,-9.90E-05,0.028
351.86099,-1.01E-04,0.028
351.922,-1.11E-04,0.028
351.98801,-1.14E-04,0.028
352.04901,-1.13E-04,0.028
352.12299,-1.11E-04,0.028
352.19199,-1.08E-04,0.028
352.26199,-1.14E-04,0.028
352.32401,-1.23E-04,0.028
352.39401,-1.11E-04,0.028
352.46899,-1.06E-04,0.028
352.52899,-1.09E-04,0.028
352.60001,-1.02E-04,0.028
352.66101,-9.90E-05,0.028
352.729,-1.15E-04,0.028
352.79599,-1.16E-04,0.028
352.86401,-1.16E-04,0.028
352.93399,-1.26E-04,0.028
353.00601,-1.20E-04,0.028
353.07001,-1.18E-04,0.028
353.13599,-1.27E-04,0.028
353.19901,-1.30E-04,0.028
353.26801,-1.35E-04,0.028
353.34399,-1.20E-04,0.028
353.405,-1.14E-04,0.028
353.47501,-1.14E-04,0.028
353.53601,-1.09E-04,0.028
353.60599,-1.13E-04,0.028
353.677,-1.21E-04,0.028
353.741,-1.12E-04,0.028
353.80801,-1.09E-04,0.028
353.879,-1.22E-04,0.028
353.95099,-1.28E-04,0.028
354.017,-1.20E-04,0.028
354.07901,-1.21E-04,0.028
354.14801,-1.30E-04,0.028
354.215,-1.27E-04,0.028
354.28101,-1.11E-04,0.028
354.34799,-1.05E-04,0.028
354.41501,-1.23E-04,0.028
354.48999,-1.34E-04,0.028
354.54999,-1.23E-04,0.028
354.616,-1.13E-04,0.028
354.69,-1.15E-04,0.028
354.75299,-1.19E-04,0.028
354.82599,-1.21E-04,0.028
354.883,-1.22E-04,0.028
354.953,-1.22E-04,0.028
355.01401,-1.21E-04,0.028
355.08801,-1.21E-04,0.028
355.15399,-1.15E-04,0.028
355.22101,-9.90E-05,0.028
355.285,-1.07E-04,0.028
355.34399,-1.32E-04,0.028
355.41299,-1.39E-04,0.028
355.491,-1.22E-04,0.028
355.55499,-1.06E-04,0.028
355.62201,-1.20E-04,0.028
355.68799,-1.25E-04,0.028
355.74899,-1.36E-04,0.028
355.81799,-1.21E-04,0.028
355.88699,-1.12E-04,0.028
355.953,-1.13E-04,0.028
356.01501,-1.16E-04,0.028
356.086,-1.15E-04,0.028
356.14999,-1.20E-04,0.028
356.216,-1.19E-04,0.028
356.27899,-1.08E-04,0.028
356.34698,-1.14E-04,0.028
356.40601,-1.18E-04,0.028
356.48199,-1.16E-04,0.028
356.54901,-1.07E-04,0.028
356.617,-1.14E-04,0.028
356.67599,-1.19E-04,0.028
356.737,-1.15E-04,0.028
356.80701,-1.22E-04,0.028
356.879,-1.21E-04,0.028
356.948,-1.22E-04,0.028
357.01401,-1.26E-04,0.028
357.08099,-1.34E-04,0.028
357.14401,-1.42E-04,0.028
357.22101,-1.28E-04,0.028
357.28601,-1.22E-04,0.028
357.34601,-1.20E-04,0.028
357.41501,-1.02E-04,0.028
357.48499,-1.20E-04,0.028
357.556,-1.22E-04,0.028
