T,Delta,pO2
300.50299,8.65E-05,0.028
300.50299,6.20E-05,0.028
300.505,4.92E-05,0.028
300.508,2.70E-05,0.028
300.509,2.47E-05,0.028
300.51401,2.24E-05,0.028
300.51901,2.59E-05,0.028
300.526,2.47E-05,0.028
300.53101,2.47E-05,0.028
300.535,3.05E-05,0.028
300.54401,4.45E-05,0.028
300.55801,4.69E-05,0.028
300.56699,4.80E-05,0.028
300.57999,4.80E-05,0.028
300.599,4.22E-05,0.028
300.62299,4.80E-05,0.028
300.642,5.50E-05,0.028
300.66501,4.69E-05,0.028
300.686,2.00E-05,0.028
300.707,2.82E-05,0.028
300.73401,2.82E-05,0.028
300.77399,2.47E-05,0.028
300.793,2.70E-05,0.028
300.82999,3.05E-05,0.028
300.862,2.70E-05,0.028
300.90201,1.65E-05,0.028
300.93701,3.05E-05,0.028
300.98599,3.99E-05,0.028
301.01901,5.85E-05,0.028
301.052,6.79E-05,0.028
301.09698,7.49E-05,0.028
301.146,5.74E-05,0.028
301.18701,3.17E-05,0.028
301.23199,3.17E-05,0.028
301.26801,2.35E-05,0.028
301.32199,2.35E-05,0.028
301.36899,2.70E-05,0.028
301.41501,2.00E-05,0.028
301.453,2.12E-05,0.028
301.51801,3.05E-05,0.028
301.56299,3.17E-05,0.028
301.61301,3.64E-05,0.028
301.66501,3.52E-05,0.028
301.72198,3.75E-05,0.028
301.76599,4.57E-05,0.028
301.823,6.20E-05,0.028
301.87,6.09E-05,0.028
301.922,4.34E-05,0.028
301.97501,2.59E-05,0.028
302.026,1.89E-05,0.028
302.07901,2.12E-05,0.028
302.138,1.19E-05,0.028
302.19699,1.19E-05,0.028
302.25,1.42E-05,0.028
302.30099,1.65E-05,0.028
302.358,2.59E-05,0.028
302.41501,2.70E-05,0.028
302.46899,2.70E-05,0.028
302.517,3.99E-05,0.028
302.58801,4.80E-05,0.028
302.64499,5.04E-05,0.028
302.70999,5.74E-05,0.028
302.76599,5.27E-05,0.028
302.82901,4.34E-05,0.028
302.88501,3.40E-05,0.028
302.953,6.04E-06,0.028
303.01599,2.47E-05,0.028
303.08301,1.54E-05,0.028
303.14301,1.19E-05,0.028
303.20901,1.42E-05,0.028
303.27899,1.89E-05,0.028
303.345,2.47E-05,0.028
303.41299,2.94E-05,0.028
303.478,2.70E-05,0.028
303.55301,3.52E-05,0.028
303.62201,3.64E-05,0.028
303.69299,4.80E-05,0.028
303.76999,6.79E-05,0.028
303.836,3.64E-05,0.028
303.90399,2.47E-05,0.028
303.97198,2.12E-05,0.028
304.04501,1.77E-05,0.028
304.11899,2.59E-05,0.028
304.185,2.12E-05,0.028
304.255,6.04E-06,0.028
304.31699,1.19E-05,0.028
304.39301,2.70E-05,0.028
304.47101,3.99E-05,0.028
304.54599,3.64E-05,0.028
304.61099,3.99E-05,0.028
304.69601,4.92E-05,0.028
304.763,3.87E-05,0.028
304.84201,3.99E-05,0.028
304.91599,4.34E-05,0.028
304.98801,4.22E-05,0.028
305.061,4.22E-05,0.028
305.134,1.77E-05,0.028
305.20901,9.54E-06,0.028
305.28201,2.47E-05,0.028
305.362,3.05E-05,0.028
305.423,3.40E-05,0.028
305.49701,3.29E-05,0.028
305.57901,3.29E-05,0.028
305.64401,3.40E-05,0.028
305.72601,3.52E-05,0.028
305.79199,3.17E-05,0.028
305.871,5.04E-05,0.028
305.94501,5.62E-05,0.028
306.021,4.45E-05,0.028
306.09201,3.99E-05,0.028
306.16599,1.42E-05,0.028
306.237,4.87E-06,0.028
306.327,1.54E-05,0.028
306.397,2.12E-05,0.028
306.478,2.12E-05,0.028
306.55099,2.00E-05,0.028
306.629,2.12E-05,0.028
306.70099,1.54E-05,0.028
306.776,2.00E-05,0.028
306.849,1.89E-05,0.028
306.931,1.54E-05,0.028
307.00201,3.05E-05,0.028
307.07901,3.40E-05,0.028
307.15799,4.34E-05,0.028
307.23801,3.87E-05,0.028
307.311,3.40E-05,0.028
307.383,1.89E-05,0.028
307.457,2.24E-05,0.028
307.53799,1.54E-05,0.028
307.612,9.54E-06,0.028
307.69601,7.21E-06,0.028
307.76901,2.12E-05,0.028
307.85699,2.00E-05,0.028
307.92999,2.12E-05,0.028
308.009,2.47E-05,0.028
308.077,3.29E-05,0.028
308.159,3.75E-05,0.028
308.23199,2.00E-05,0.028
308.314,1.07E-05,0.028
308.39401,9.54E-06,0.028
308.46701,4.87E-06,0.028
308.53601,1.37E-06,0.028
308.617,7.21E-06,0.028
308.69601,1.19E-05,0.028
308.76999,1.19E-05,0.028
308.849,1.07E-05,0.028
308.91901,1.07E-05,0.028
309.00101,1.54E-05,0.028
309.08301,6.04E-06,0.028
309.155,1.30E-05,0.028
309.22501,2.12E-05,0.028
309.30499,2.12E-05,0.028
309.38699,2.35E-05,0.028
309.45801,2.82E-05,0.028
309.53601,3.05E-05,0.028
309.61499,2.70E-05,0.028
309.69101,1.89E-05,0.028
309.755,1.07E-05,0.028
309.84201,1.54E-05,0.028
309.91599,1.77E-05,0.028
310,-5.63E-06,0.028
310.073,-4.46E-06,0.028
310.14999,2.24E-05,0.028
310.22299,2.70E-05,0.028
310.29501,1.42E-05,0.028
310.36301,1.07E-05,0.028
310.45001,1.77E-05,0.028
310.51999,2.70E-05,0.028
310.59799,1.77E-05,0.028
310.67801,2.94E-05,0.028
310.75299,3.40E-05,0.028
310.828,7.21E-06,0.028
310.897,-2.13E-06,0.028
310.97501,1.37E-06,0.028
311.043,9.54E-06,0.028
311.13199,3.05E-05,0.028
311.20001,2.35E-05,0.028
311.27802,-5.35E-05,0.028
311.35599,3.71E-06,0.028
311.43201,5.15E-05,0.028
311.49799,3.05E-05,0.028
311.573,1.42E-05,0.028
311.655,2.24E-05,0.028
311.729,1.65E-05,0.028
311.806,2.24E-05,0.028
311.88,3.40E-05,0.028
311.95599,1.89E-05,0.028
312.034,9.54E-06,0.028
312.10901,3.71E-06,0.028
312.17899,-6.79E-06,0.028
312.263,2.06E-07,0.028
312.32901,-9.61E-07,0.028
312.409,6.04E-06,0.028
312.48099,8.37E-06,0.028
312.55099,6.04E-06,0.028
312.62601,9.54E-06,0.028
312.711,1.65E-05,0.028
312.77701,1.42E-05,0.028
312.84799,2.06E-07,0.028
312.93301,1.30E-05,0.028
313.00201,7.21E-06,0.028
313.07901,1.37E-06,0.028
313.14899,8.37E-06,0.028
313.224,-7.96E-06,0.028
313.30801,-1.96E-05,0.028
313.37299,-1.73E-05,0.028
313.45001,-1.50E-05,0.028
313.51099,-2.43E-05,0.028
313.59799,-1.15E-05,0.028
313.673,-1.85E-05,0.028
313.741,-1.26E-05,0.028
313.81299,2.54E-06,0.028
313.892,8.37E-06,0.028
313.965,7.21E-06,0.028
314.039,6.04E-06,0.028
314.11301,2.06E-07,0.028
314.181,-9.13E-06,0.028
314.258,-1.15E-05,0.028
314.33301,-1.15E-05,0.028
314.41101,-7.96E-06,0.028
314.48499,-1.15E-05,0.028
314.55701,-1.26E-05,0.028
314.62601,-5.63E-06,0.028
314.70099,4.87E-06,0.028
314.76801,2.54E-06,0.028
314.84201,9.54E-06,0.028
314.92001,9.54E-06,0.028
314.99301,6.04E-06,0.028
315.065,-6.79E-06,0.028
315.12201,2.06E-07,0.028
315.20099,-2.13E-06,0.028
315.28,-5.63E-06,0.028
315.35101,-1.38E-05,0.028
315.42599,-1.03E-05,0.028
315.504,-5.63E-06,0.028
315.57999,-2.08E-05,0.028
315.64801,-2.66E-05,0.028
315.724,-9.61E-07,0.028
315.79501,2.06E-07,0.028
315.871,-7.96E-06,0.028
315.93201,-1.50E-05,0.028
316.005,-1.73E-05,0.028
316.07501,-1.03E-05,0.028
316.15201,-9.13E-06,0.028
316.216,-2.13E-06,0.028
316.29901,-6.79E-06,0.028
316.36899,-1.03E-05,0.028
316.43399,-3.29E-06,0.028
316.50699,-4.46E-06,0.028
316.582,-1.38E-05,0.028
316.651,-2.43E-05,0.028
316.72501,-1.50E-05,0.028
316.798,2.82E-05,0.028
316.87299,3.87E-05,0.028
316.94501,1.89E-05,0.028
317.01199,3.71E-06,0.028
317.07999,-2.13E-06,0.028
317.151,2.54E-06,0.028
317.229,3.71E-06,0.028
317.29001,9.54E-06,0.028
317.366,2.54E-06,0.028
317.44699,-3.13E-05,0.028
317.51501,-3.83E-05,0.028
317.58899,-4.65E-05,0.028
317.65601,-5.93E-05,0.028
317.73999,-5.93E-05,0.028
317.80399,-5.93E-05,0.028
317.87701,-4.30E-05,0.028
317.94901,-2.55E-05,0.028
318.01199,-7.96E-06,0.028
318.08401,3.71E-06,0.028
318.16199,-2.13E-06,0.028
318.23001,3.71E-06,0.028
318.302,-1.73E-05,0.028
318.37799,-1.50E-05,0.028
318.45001,-7.96E-06,0.028
318.521,-1.03E-05,0.028
318.591,-7.96E-06,0.028
318.66,-6.79E-06,0.028
318.73199,-4.46E-06,0.028
318.80701,-7.96E-06,0.028
318.87701,-3.01E-05,0.028
318.94601,-2.20E-05,0.028
319.021,-1.50E-05,0.028
319.09299,-1.26E-05,0.028
319.16699,-2.08E-05,0.028
319.237,-2.43E-05,0.028
319.30301,-7.96E-06,0.028
319.37601,6.04E-06,0.028
319.45001,-9.13E-06,0.028
319.51199,-1.50E-05,0.028
319.57901,-7.96E-06,0.028
319.65201,-2.31E-05,0.028
319.72299,-4.18E-05,0.028
319.80301,-2.78E-05,0.028
319.86401,-3.36E-05,0.028
319.94501,-2.66E-05,0.028
320.009,-2.08E-05,0.028
320.078,-5.11E-05,0.028
320.15201,-5.35E-05,0.028
320.21701,-3.71E-05,0.028
320.28699,-2.13E-06,0.028
320.36099,2.06E-07,0.028
320.43201,1.30E-05,0.028
320.49899,-7.96E-06,0.028
320.57001,-1.03E-05,0.028
320.64099,2.54E-06,0.028
320.70801,6.04E-06,0.028
320.77899,1.37E-06,0.028
320.84399,-9.13E-06,0.028
320.92001,-9.13E-06,0.028
320.992,-1.15E-05,0.028
321.06,-1.50E-05,0.028
321.12601,-2.31E-05,0.028
321.19901,-2.31E-05,0.028
321.271,-1.03E-05,0.028
321.34601,-5.63E-06,0.028
321.41299,-9.13E-06,0.028
321.496,1.37E-06,0.028
321.55701,-5.63E-06,0.028
321.61801,-1.15E-05,0.028
321.69501,-7.96E-06,0.028
321.767,-1.50E-05,0.028
