T,Delta,pO2
300.513,2.16E-04,0.075
300.51199,2.30E-04,0.075
300.513,2.15E-04,0.075
300.513,2.30E-04,0.075
300.51599,2.19E-04,0.075
300.517,2.21E-04,0.075
300.51901,2.21E-04,0.075
300.52701,2.19E-04,0.075
300.53299,2.19E-04,0.075
300.54401,2.09E-04,0.075
300.55399,1.87E-04,0.075
300.561,1.94E-04,0.075
300.57001,2.23E-04,0.075
300.58099,2.19E-04,0.075
300.59698,2.19E-04,0.075
300.604,2.15E-04,0.075
300.63501,2.33E-04,0.075
300.66199,2.48E-04,0.075
300.68201,2.23E-04,0.075
300.711,2.13E-04,0.075
300.73901,2.15E-04,0.075
300.763,2.11E-04,0.075
300.776,1.90E-04,0.075
300.81299,1.60E-04,0.075
300.85101,1.67E-04,0.075
300.896,1.85E-04,0.075
300.94,2.00E-04,0.075
300.97101,2.06E-04,0.075
301.01199,2.30E-04,0.075
301.05499,2.18E-04,0.075
301.09799,2.32E-04,0.075
301.138,2.35E-04,0.075
301.18201,2.34E-04,0.075
301.216,2.04E-04,0.075
301.26199,2.00E-04,0.075
301.30899,2.02E-04,0.075
301.35599,1.94E-04,0.075
301.41,1.91E-04,0.075
301.465,1.85E-04,0.075
301.526,1.84E-04,0.075
301.556,2.01E-04,0.075
301.61301,2.08E-04,0.075
301.67001,1.81E-04,0.075
301.71701,2.04E-04,0.075
301.76401,2.11E-04,0.075
301.819,2.13E-04,0.075
301.87,2.06E-04,0.075
301.92099,1.91E-04,0.075
301.991,1.98E-04,0.075
302.035,2.22E-04,0.075
302.09299,2.29E-04,0.075
302.13199,2.13E-04,0.075
302.19601,2.00E-04,0.075
302.245,2.04E-04,0.075
302.30301,2.15E-04,0.075
302.35901,2.08E-04,0.075
302.418,1.92E-04,0.075
302.479,1.77E-04,0.075
302.53,2.15E-04,0.075
302.582,2.25E-04,0.075
302.64801,2.05E-04,0.075
302.72,1.92E-04,0.075
302.78101,2.07E-04,0.075
302.83801,1.92E-04,0.075
302.89801,1.99E-04,0.075
302.95401,2.08E-04,0.075
303.01801,2.02E-04,0.075
303.086,2.06E-04,0.075
303.147,2.07E-04,0.075
303.21399,2.19E-04,0.075
303.285,2.15E-04,0.075
303.35001,1.90E-04,0.075
303.41199,1.77E-04,0.075
303.48099,1.86E-04,0.075
303.552,2.05E-04,0.075
303.616,2.19E-04,0.075
303.686,2.25E-04,0.075
303.75,2.25E-04,0.075
303.832,2.57E-04,0.075
303.89401,2.41E-04,0.075
303.97699,1.79E-04,0.075
