T,Delta,pO2
304.04199,1.85E-04,0.075
304.108,1.92E-04,0.075
304.18701,1.97E-04,0.075
304.25201,1.88E-04,0.075
304.32999,1.78E-04,0.075
304.39801,1.93E-04,0.075
304.48401,2.04E-04,0.075
304.547,1.98E-04,0.075
304.62701,1.94E-04,0.075
304.69199,1.94E-04,0.075
304.76099,2.06E-04,0.075
304.83899,2.20E-04,0.075
304.90799,2.21E-04,0.075
304.983,2.15E-04,0.075
305.06299,2.04E-04,0.075
305.11899,2.01E-04,0.075
305.19501,1.97E-04,0.075
305.27399,2.00E-04,0.075
305.349,2.05E-04,0.075
305.42499,2.13E-04,0.075
305.49301,2.05E-04,0.075
305.57101,2.00E-04,0.075
305.63699,1.94E-04,0.075
305.71899,2.06E-04,0.075
305.789,1.87E-04,0.075
305.871,1.73E-04,0.075
305.94601,1.88E-04,0.075
306.017,1.78E-04,0.075
306.09698,1.80E-04,0.075
306.17999,2.06E-04,0.075
306.241,1.81E-04,0.075
306.315,1.88E-04,0.075
306.39401,2.04E-04,0.075
306.46701,2.08E-04,0.075
306.535,2.19E-04,0.075
306.62201,1.92E-04,0.075
306.69901,1.85E-04,0.075
306.77301,1.97E-04,0.075
306.83801,1.84E-04,0.075
306.92401,1.77E-04,0.075
306.996,1.84E-04,0.075
307.08401,2.04E-04,0.075
307.15302,2.09E-04,0.075
307.22501,2.06E-04,0.075
307.311,1.94E-04,0.075
307.38199,2.12E-04,0.075
307.45099,1.97E-04,0.075
307.53,1.88E-04,0.075
307.603,1.87E-04,0.075
307.686,1.74E-04,0.075
307.76401,1.79E-04,0.075
307.83801,1.73E-04,0.075
307.91199,1.81E-04,0.075
307.98999,1.98E-04,0.075
308.069,1.95E-04,0.075
308.146,1.91E-04,0.075
308.22299,1.85E-04,0.075
308.29599,1.85E-04,0.075
308.379,2.05E-04,0.075
308.45401,2.19E-04,0.075
308.535,1.97E-04,0.075
308.604,2.04E-04,0.075
308.686,1.93E-04,0.075
308.75601,1.93E-04,0.075
308.84,1.94E-04,0.075
308.91501,1.67E-04,0.075
308.98199,1.66E-04,0.075
309.06699,1.90E-04,0.075
309.14999,1.71E-04,0.075
309.21701,1.62E-04,0.075
309.30099,1.57E-04,0.075
309.37201,1.65E-04,0.075
309.44901,2.04E-04,0.075
309.53101,1.85E-04,0.075
309.58701,1.88E-04,0.075
309.67999,1.90E-04,0.075
309.74899,1.92E-04,0.075
309.82599,1.78E-04,0.075
309.89899,1.64E-04,0.075
309.98099,1.64E-04,0.075
310.04901,1.77E-04,0.075
310.129,1.58E-04,0.075
310.20499,1.46E-04,0.075
310.28101,1.71E-04,0.075
310.353,1.80E-04,0.075
310.427,1.85E-04,0.075
310.51501,1.90E-04,0.075
310.57901,1.94E-04,0.075
310.65799,2.09E-04,0.075
310.73599,2.14E-04,0.075
310.80899,2.08E-04,0.075
310.88501,1.77E-04,0.075
310.957,1.50E-04,0.075
311.03,1.58E-04,0.075
311.108,1.59E-04,0.075
311.17401,1.49E-04,0.075
311.259,1.56E-04,0.075
311.327,1.85E-04,0.075
311.41,1.94E-04,0.075
311.48999,1.67E-04,0.075
311.561,1.73E-04,0.075
311.64099,1.83E-04,0.075
311.70599,1.67E-04,0.075
311.77701,1.83E-04,0.075
311.86401,2.00E-04,0.075
311.93799,1.72E-04,0.075
312.00601,1.71E-04,0.075
312.082,1.71E-04,0.075
312.168,1.73E-04,0.075
312.23199,1.63E-04,0.075
312.31,1.74E-04,0.075
312.38501,1.69E-04,0.075
312.45901,1.46E-04,0.075
312.53699,1.67E-04,0.075
312.608,1.79E-04,0.075
312.685,1.76E-04,0.075
312.76001,1.80E-04,0.075
312.83801,1.86E-04,0.075
312.90601,1.92E-04,0.075
312.98001,1.94E-04,0.075
313.047,1.93E-04,0.075
313.12701,1.81E-04,0.075
313.211,1.98E-04,0.075
313.284,1.95E-04,0.075
313.349,1.63E-04,0.075
313.42401,1.81E-04,0.075
313.504,1.88E-04,0.075
313.57199,1.58E-04,0.075
313.64499,1.37E-04,0.075
313.72299,1.31E-04,0.075
313.79401,1.49E-04,0.075
313.871,1.73E-04,0.075
313.948,1.58E-04,0.075
314.017,1.43E-04,0.075
314.09201,1.95E-04,0.075
314.16901,1.98E-04,0.075
314.23401,1.88E-04,0.075
314.30899,1.79E-04,0.075
314.379,1.73E-04,0.075
314.461,1.55E-04,0.075
314.52899,1.50E-04,0.075
314.60001,1.28E-04,0.075
314.672,1.50E-04,0.075
314.76401,1.56E-04,0.075
314.82401,1.42E-04,0.075
314.892,1.64E-04,0.075
314.96899,1.77E-04,0.075
315.04099,1.81E-04,0.075
315.10901,1.73E-04,0.075
315.17801,1.88E-04,0.075
315.25201,1.67E-04,0.075
315.32901,1.46E-04,0.075
315.40201,1.55E-04,0.075
315.46899,1.56E-04,0.075
315.55499,1.53E-04,0.075
315.62201,1.59E-04,0.075
315.69601,1.65E-04,0.075
315.755,1.52E-04,0.075
315.83099,1.50E-04,0.075
315.909,1.62E-04,0.075
315.98499,1.67E-04,0.075
316.048,1.78E-04,0.075
316.12799,1.85E-04,0.075
316.20599,1.64E-04,0.075
316.272,1.58E-04,0.075
316.345,1.60E-04,0.075
316.41501,1.66E-04,0.075
316.487,1.77E-04,0.075
316.56299,1.64E-04,0.075
316.64401,1.44E-04,0.075
316.70801,1.46E-04,0.075
316.77899,1.36E-04,0.075
316.84799,1.42E-04,0.075
316.93799,1.49E-04,0.075
316.99399,1.22E-04,0.075
317.064,1.45E-04,0.075
317.13699,1.59E-04,0.075
317.20499,1.76E-04,0.075
317.276,1.67E-04,0.075
317.35699,1.64E-04,0.075
317.42801,1.83E-04,0.075
317.49899,1.69E-04,0.075
317.57001,1.73E-04,0.075
317.64099,1.67E-04,0.075
317.70901,1.44E-04,0.075
317.77802,1.36E-04,0.075
317.85599,1.10E-04,0.075
317.918,1.25E-04,0.075
317.99799,1.36E-04,0.075
318.069,1.36E-04,0.075
318.133,1.28E-04,0.075
318.21399,1.38E-04,0.075
318.27899,1.64E-04,0.075
318.35001,1.72E-04,0.075
318.42401,1.56E-04,0.075
318.49799,1.67E-04,0.075
318.57101,1.59E-04,0.075
318.64301,1.56E-04,0.075
318.70401,1.48E-04,0.075
318.785,1.53E-04,0.075
318.85101,1.53E-04,0.075
318.914,1.43E-04,0.075
318.99301,1.38E-04,0.075
319.065,1.32E-04,0.075
319.138,1.32E-04,0.075
319.21301,1.46E-04,0.075
319.289,1.72E-04,0.075
319.353,1.58E-04,0.075
319.42801,1.64E-04,0.075
319.50101,1.71E-04,0.075
319.56601,1.83E-04,0.075
319.63599,1.56E-04,0.075
319.707,1.53E-04,0.075
319.77701,1.56E-04,0.075
319.84201,1.59E-04,0.075
319.909,1.37E-04,0.075
319.98801,1.25E-04,0.075
320.061,1.16E-04,0.075
320.133,1.35E-04,0.075
320.20099,1.52E-04,0.075
320.26501,1.50E-04,0.075
320.33099,1.62E-04,0.075
320.401,1.73E-04,0.075
320.47601,1.66E-04,0.075
320.54999,1.79E-04,0.075
320.62701,1.67E-04,0.075
320.68201,1.45E-04,0.075
320.759,1.67E-04,0.075
320.832,1.81E-04,0.075
320.905,1.46E-04,0.075
320.97198,1.25E-04,0.075
321.04501,1.31E-04,0.075
321.11099,1.52E-04,0.075
321.19101,1.27E-04,0.075
321.25201,1.43E-04,0.075
321.323,1.62E-04,0.075
321.38501,1.46E-04,0.075
321.45599,1.37E-04,0.075
321.52802,1.59E-04,0.075
321.59299,1.52E-04,0.075
321.67401,1.69E-04,0.075
321.74399,1.77E-04,0.075
321.827,1.21E-04,0.075
321.88699,1.10E-04,0.075
321.95401,1.18E-04,0.075
322.02899,1.50E-04,0.075
322.09799,1.34E-04,0.075
322.17401,1.22E-04,0.075
322.24399,1.35E-04,0.075
322.31201,1.37E-04,0.075
322.38101,1.39E-04,0.075
322.44,1.46E-04,0.075
322.51501,1.65E-04,0.075
322.58701,1.60E-04,0.075
322.66299,1.50E-04,0.075
322.733,1.56E-04,0.075
322.79001,1.52E-04,0.075
322.867,1.45E-04,0.075
322.93201,1.43E-04,0.075
323.01199,1.43E-04,0.075
323.07599,1.56E-04,0.075
323.15302,1.43E-04,0.075
323.207,1.49E-04,0.075
323.28201,1.35E-04,0.075
323.35001,1.55E-04,0.075
323.42001,1.51E-04,0.075
323.50101,1.60E-04,0.075
323.565,1.64E-04,0.075
323.625,1.57E-04,0.075
323.707,1.56E-04,0.075
323.78,1.57E-04,0.075
323.845,1.58E-04,0.075
323.91699,1.52E-04,0.075
323.98001,1.53E-04,0.075
324.04401,1.42E-04,0.075
324.10999,1.27E-04,0.075
324.18201,9.98E-05,0.075
324.25201,1.06E-04,0.075
324.32001,1.20E-04,0.075
324.39401,1.29E-04,0.075
324.46799,1.37E-04,0.075
324.53201,1.43E-04,0.075
324.60199,1.51E-04,0.075
324.67401,1.41E-04,0.075
324.737,1.39E-04,0.075
324.811,1.83E-04,0.075
324.87701,1.78E-04,0.075
324.94699,1.42E-04,0.075
325.022,1.30E-04,0.075
325.095,1.43E-04,0.075
325.15799,1.41E-04,0.075
325.22101,1.29E-04,0.075
325.29901,1.29E-04,0.075
325.358,1.24E-04,0.075
325.42401,1.23E-04,0.075
325.50201,1.18E-04,0.075
325.58301,1.25E-04,0.075
325.64401,1.31E-04,0.075
325.71399,1.36E-04,0.075
325.78101,1.43E-04,0.075
325.85501,1.46E-04,0.075
325.92001,1.49E-04,0.075
325.992,1.52E-04,0.075
326.06699,1.49E-04,0.075
326.134,1.52E-04,0.075
326.19699,1.44E-04,0.075
326.27301,1.37E-04,0.075
326.341,1.46E-04,0.075
326.401,1.41E-04,0.075
326.478,1.28E-04,0.075
326.54099,1.27E-04,0.075
326.60199,1.18E-04,0.075
326.67999,1.41E-04,0.075
326.745,1.57E-04,0.075
326.81799,1.43E-04,0.075
326.88199,1.53E-04,0.075
326.95401,1.25E-04,0.075
327.02399,1.29E-04,0.075
327.082,1.44E-04,0.075
327.15201,1.60E-04,0.075
327.233,1.35E-04,0.075
327.285,1.37E-04,0.075
327.35999,1.31E-04,0.075
327.44299,1.13E-04,0.075
327.51001,1.23E-04,0.075
327.58099,1.35E-04,0.075
327.64999,1.52E-04,0.075
327.70999,1.77E-04,0.075
327.789,1.55E-04,0.075
327.85599,1.43E-04,0.075
327.91501,1.31E-04,0.075
327.987,1.45E-04,0.075
328.065,1.36E-04,0.075
328.134,9.28E-05,0.075
328.19501,1.04E-04,0.075
328.26099,8.81E-05,0.075
328.33899,1.08E-04,0.075
328.40399,1.29E-04,0.075
328.48001,1.28E-04,0.075
328.543,1.36E-04,0.075
328.61099,1.31E-04,0.075
328.69101,1.25E-04,0.075
328.75101,1.46E-04,0.075
328.823,1.42E-04,0.075
328.88199,1.22E-04,0.075
328.944,1.11E-04,0.075
329.01999,1.11E-04,0.075
329.095,1.22E-04,0.075
329.164,1.25E-04,0.075
329.22699,1.28E-04,0.075
329.29999,1.44E-04,0.075
329.36099,1.43E-04,0.075
329.44,1.31E-04,0.075
329.50201,1.37E-04,0.075
329.57101,1.08E-04,0.075
329.64099,1.20E-04,0.075
329.716,1.29E-04,0.075
329.78201,1.22E-04,0.075
329.84399,9.63E-05,0.075
329.92099,1.11E-04,0.075
329.98199,1.37E-04,0.075
330.04999,1.37E-04,0.075
330.12,1.18E-04,0.075
330.18399,9.74E-05,0.075
330.26099,1.06E-04,0.075
330.327,1.04E-04,0.075
330.39401,9.98E-05,0.075
330.46301,1.07E-04,0.075
330.521,1.17E-04,0.075
330.59,1.27E-04,0.075
330.664,1.29E-04,0.075
330.73499,1.35E-04,0.075
330.80099,1.37E-04,0.075
330.86801,1.32E-04,0.075
330.935,1.23E-04,0.075
331.00101,1.30E-04,0.075
331.07101,1.10E-04,0.075
331.14001,1.08E-04,0.075
331.207,1.16E-04,0.075
331.27899,1.22E-04,0.075
331.34201,1.18E-04,0.075
331.41101,1.30E-04,0.075
331.48801,1.21E-04,0.075
331.54901,1.23E-04,0.075
331.62299,1.27E-04,0.075
331.68701,1.34E-04,0.075
331.75601,1.21E-04,0.075
331.82501,1.17E-04,0.075
331.88901,1.27E-04,0.075
331.95599,1.03E-04,0.075
332.03,7.76E-05,0.075
332.09299,1.01E-04,0.075
332.16901,1.24E-04,0.075
332.22601,1.29E-04,0.075
332.29999,1.35E-04,0.075
332.371,1.35E-04,0.075
332.439,1.21E-04,0.075
332.508,1.10E-04,0.075
332.56601,1.13E-04,0.075
332.64001,1.17E-04,0.075
332.71399,1.23E-04,0.075
332.77499,1.36E-04,0.075
332.85901,1.41E-04,0.075
332.91901,1.18E-04,0.075
332.98199,8.69E-05,0.075
333.04901,7.06E-05,0.075
333.11899,8.93E-05,0.075
333.18701,1.10E-04,0.075
333.24399,1.13E-04,0.075
333.31799,1.16E-04,0.075
333.38699,1.10E-04,0.075
333.44901,1.15E-04,0.075
333.51901,1.25E-04,0.075
333.58899,1.31E-04,0.075
333.65201,1.23E-04,0.075
333.71899,9.98E-05,0.075
333.78799,9.16E-05,0.075
333.85599,1.17E-04,0.075
333.923,9.86E-05,0.075
333.996,1.09E-04,0.075
334.05899,1.20E-04,0.075
334.12799,1.21E-04,0.075
334.198,1.03E-04,0.075
334.26401,1.11E-04,0.075
334.33701,1.34E-04,0.075
334.401,1.20E-04,0.075
334.47198,1.35E-04,0.075
334.52899,1.60E-04,0.075
334.60501,1.30E-04,0.075
334.672,9.74E-05,0.075
334.73801,9.86E-05,0.075
334.806,1.10E-04,0.075
334.88101,1.21E-04,0.075
334.93301,1.15E-04,0.075
335.008,1.04E-04,0.075
335.08701,1.06E-04,0.075
335.14999,7.88E-05,0.075
335.21399,9.04E-05,0.075
335.285,1.18E-04,0.075
335.35199,1.14E-04,0.075
335.41599,9.86E-05,0.075
335.483,9.98E-05,0.075
335.552,1.22E-04,0.075
335.617,1.06E-04,0.075
335.68301,9.86E-05,0.075
335.75601,1.29E-04,0.075
335.823,1.36E-04,0.075
335.89099,1.10E-04,0.075
335.965,7.06E-05,0.075
336.03,6.71E-05,0.075
336.09601,6.83E-05,0.075
336.164,8.11E-05,0.075
336.22601,9.16E-05,0.075
336.30399,1.16E-04,0.075
336.367,1.22E-04,0.075
336.43301,1.09E-04,0.075
336.5,8.81E-05,0.075
336.56799,8.93E-05,0.075
336.63501,1.01E-04,0.075
336.70599,9.39E-05,0.075
336.76599,8.69E-05,0.075
336.841,8.11E-05,0.075
336.90701,8.81E-05,0.075
336.97101,9.04E-05,0.075
337.04199,8.93E-05,0.075
337.108,7.41E-05,0.075
337.17499,8.69E-05,0.075
337.24701,8.93E-05,0.075
337.311,8.11E-05,0.075
337.38,1.01E-04,0.075
337.448,9.51E-05,0.075
337.51599,1.10E-04,0.075
337.58099,1.15E-04,0.075
337.655,1.44E-04,0.075
337.72,1.35E-04,0.075
337.78201,8.58E-05,0.075
337.84698,7.99E-05,0.075
337.90701,1.15E-04,0.075
337.983,8.23E-05,0.075
338.052,8.34E-05,0.075
338.12299,9.28E-05,0.075
338.185,7.53E-05,0.075
338.26099,7.88E-05,0.075
338.32999,9.28E-05,0.075
338.396,1.17E-04,0.075
338.46799,9.51E-05,0.075
338.53201,8.34E-05,0.075
338.60101,9.98E-05,0.075
338.66599,1.21E-04,0.075
338.737,1.23E-04,0.075
338.79901,1.03E-04,0.075
338.86301,1.09E-04,0.075
338.92001,9.51E-05,0.075
338.99301,8.58E-05,0.075
339.061,8.93E-05,0.075
339.12601,9.63E-05,0.075
339.19699,1.36E-04,0.075
339.259,1.10E-04,0.075
339.33401,2.16E-05,0.075
339.39899,4.61E-05,0.075
339.46399,5.89E-05,0.075
339.53101,9.63E-05,0.075
339.595,9.51E-05,0.075
339.66199,8.34E-05,0.075
339.73599,8.93E-05,0.075
339.806,7.99E-05,0.075
339.87399,6.94E-05,0.075
339.935,6.48E-05,0.075
340.00601,6.48E-05,0.075
340.069,5.89E-05,0.075
340.13901,5.66E-05,0.075
340.21301,6.94E-05,0.075
340.276,7.88E-05,0.075
340.349,6.13E-05,0.075
340.414,7.29E-05,0.075
340.483,1.08E-04,0.075
340.55399,8.58E-05,0.075
340.60699,7.99E-05,0.075
340.67899,1.03E-04,0.075
340.745,1.11E-04,0.075
340.815,8.93E-05,0.075
340.88501,7.18E-05,0.075
340.953,5.89E-05,0.075
341.017,5.43E-05,0.075
341.08099,6.24E-05,0.075
341.14899,7.41E-05,0.075
341.215,7.18E-05,0.075
341.285,8.23E-05,0.075
341.34601,7.41E-05,0.075
341.422,6.83E-05,0.075
341.48001,6.59E-05,0.075
341.547,7.99E-05,0.075
341.612,1.21E-04,0.075
341.68201,1.03E-04,0.075
341.75201,5.66E-05,0.075
341.81699,7.64E-05,0.075
341.88101,7.41E-05,0.075
341.95999,4.61E-05,0.075
342.01501,5.08E-05,0.075
342.08499,6.01E-05,0.075
342.14999,8.23E-05,0.075
342.22,8.11E-05,0.075
342.289,5.66E-05,0.075
342.36099,6.48E-05,0.075
342.427,7.41E-05,0.075
342.492,9.04E-05,0.075
342.55899,8.58E-05,0.075
342.61899,8.69E-05,0.075
342.69199,7.29E-05,0.075
342.75601,7.76E-05,0.075
342.827,8.34E-05,0.075
342.89999,7.06E-05,0.075
342.96799,4.14E-05,0.075
343.04099,4.26E-05,0.075
343.10599,4.38E-05,0.075
343.17001,5.89E-05,0.075
343.233,6.24E-05,0.075
343.302,7.18E-05,0.075
343.35999,7.99E-05,0.075
343.436,1.13E-04,0.075
343.49799,1.28E-04,0.075
343.56699,1.10E-04,0.075
343.63501,8.46E-05,0.075
343.70499,8.34E-05,0.075
343.76099,7.18E-05,0.075
343.83099,5.89E-05,0.075
343.90601,6.36E-05,0.075
343.97299,5.43E-05,0.075
344.034,4.14E-05,0.075
344.10001,5.31E-05,0.075
344.177,5.89E-05,0.075
344.23999,4.73E-05,0.075
344.30801,6.24E-05,0.075
344.36899,1.60E-04,0.075
344.435,1.11E-04,0.075
344.50601,5.89E-05,0.075
344.57001,5.43E-05,0.075
344.638,6.13E-05,0.075
344.70999,6.83E-05,0.075
344.771,7.76E-05,0.075
344.845,7.88E-05,0.075
344.90201,7.06E-05,0.075
344.979,6.71E-05,0.075
345.04199,3.91E-05,0.075
345.10599,3.68E-05,0.075
345.17899,4.38E-05,0.075
345.25101,5.19E-05,0.075
345.31,7.76E-05,0.075
345.37601,6.83E-05,0.075
345.44699,9.04E-05,0.075
345.513,8.11E-05,0.075
345.586,6.83E-05,0.075
345.646,6.36E-05,0.075
345.71201,5.31E-05,0.075
345.78,5.43E-05,0.075
345.853,5.78E-05,0.075
345.91199,4.38E-05,0.075
345.978,5.66E-05,0.075
346.04999,5.78E-05,0.075
346.11899,5.31E-05,0.075
346.17499,5.89E-05,0.075
346.254,6.71E-05,0.075
346.323,6.83E-05,0.075
346.38699,7.18E-05,0.075
346.45599,7.41E-05,0.075
346.517,7.18E-05,0.075
346.58701,7.64E-05,0.075
346.659,7.88E-05,0.075
346.70901,7.41E-05,0.075
346.79401,7.29E-05,0.075
346.85999,7.99E-05,0.075
346.92599,7.06E-05,0.075
346.995,6.59E-05,0.075
347.05701,5.31E-05,0.075
347.125,1.58E-05,0.075
347.19299,6.83E-05,0.075
347.26501,7.41E-05,0.075
347.32401,6.13E-05,0.075
347.397,5.89E-05,0.075
347.46301,7.76E-05,0.075
347.52701,7.76E-05,0.075
347.59799,6.94E-05,0.075
347.66,5.43E-05,0.075
347.733,9.28E-05,0.075
347.79599,1.16E-04,0.075
347.85999,7.41E-05,0.075
347.927,5.78E-05,0.075
347.98801,5.08E-05,0.075
348.064,4.26E-05,0.075
348.13,3.56E-05,0.075
348.20001,3.79E-05,0.075
348.25601,2.28E-05,0.075
348.323,4.96E-05,0.075
348.39401,4.26E-05,0.075
348.466,6.24E-05,0.075
348.534,6.94E-05,0.075
348.59698,6.36E-05,0.075
348.66501,6.83E-05,0.075
348.73199,8.46E-05,0.075
348.79599,8.34E-05,0.075
348.86801,6.48E-05,0.075
348.92999,5.43E-05,0.075
349.00101,3.79E-05,0.075
349.07199,4.03E-05,0.075
349.13199,2.98E-05,0.075
349.20401,2.04E-05,0.075
349.26401,2.51E-05,0.075
349.32999,3.33E-05,0.075
349.397,4.14E-05,0.075
349.466,5.43E-05,0.075
349.52701,7.06E-05,0.075
349.604,7.18E-05,0.075
349.66699,6.36E-05,0.075
349.73401,6.24E-05,0.075
349.79999,5.89E-05,0.075
349.86899,4.38E-05,0.075
349.94101,4.26E-05,0.075
350.00601,2.63E-05,0.075
350.07101,2.86E-05,0.075
350.14301,4.96E-05,0.075
350.203,4.49E-05,0.075
350.26501,4.14E-05,0.075
350.336,3.56E-05,0.075
350.409,4.03E-05,0.075
350.48199,5.08E-05,0.075
350.543,6.01E-05,0.075
350.616,8.11E-05,0.075
350.67999,8.81E-05,0.075
350.745,7.06E-05,0.075
350.80801,5.89E-05,0.075
350.87701,4.14E-05,0.075
350.95001,3.91E-05,0.075
351.009,1.81E-05,0.075
351.07199,2.39E-05,0.075
351.14001,4.73E-05,0.075
351.19901,3.68E-05,0.075
351.27399,2.04E-05,0.075
351.349,4.03E-05,0.075
351.409,6.83E-05,0.075
351.474,7.06E-05,0.075
351.543,7.18E-05,0.075
351.60699,7.64E-05,0.075
351.67801,7.18E-05,0.075
351.74301,5.66E-05,0.075
351.814,5.31E-05,0.075
351.875,5.31E-05,0.075
351.93201,4.73E-05,0.075
352.008,3.79E-05,0.075
352.06601,3.56E-05,0.075
352.14301,2.04E-05,0.075
352.207,1.11E-05,0.075
352.28299,3.21E-05,0.075
352.33801,3.56E-05,0.075
352.40601,5.89E-05,0.075
352.478,6.13E-05,0.075
352.53101,5.89E-05,0.075
352.59799,4.73E-05,0.075
352.67401,3.21E-05,0.075
352.74399,3.09E-05,0.075
352.81,4.96E-05,0.075
352.87,3.68E-05,0.075
352.94699,2.28E-05,0.075
353.01401,2.74E-05,0.075
353.086,2.39E-05,0.075
353.14401,5.27E-06,0.075
353.21399,1.46E-05,0.075
353.26901,2.28E-05,0.075
353.35101,3.79E-05,0.075
353.418,3.56E-05,0.075
353.49701,4.49E-05,0.075
353.552,4.96E-05,0.075
353.621,6.36E-05,0.075
353.68301,6.36E-05,0.075
353.75,6.13E-05,0.075
353.81601,5.66E-05,0.075
353.884,3.79E-05,0.075
353.95099,2.98E-05,0.075
354.017,2.86E-05,0.075
354.08701,2.28E-05,0.075
354.151,1.11E-05,0.075
354.21799,1.46E-05,0.075
354.284,1.93E-05,0.075
354.353,4.14E-05,0.075
354.422,5.08E-05,0.075
354.495,5.08E-05,0.075
354.56201,3.21E-05,0.075
354.62701,3.56E-05,0.075
354.686,2.28E-05,0.075
354.755,4.84E-05,0.075
354.827,4.14E-05,0.075
354.88599,4.73E-05,0.075
354.95001,3.68E-05,0.075
355.017,2.98E-05,0.075
355.08899,2.74E-05,0.075
355.15701,2.86E-05,0.075
355.21799,2.74E-05,0.075
355.28799,1.69E-05,0.075
355.358,1.93E-05,0.075
355.423,2.51E-05,0.075
355.487,2.86E-05,0.075
355.56,3.21E-05,0.075
355.62399,3.56E-05,0.075
355.69101,5.31E-05,0.075
355.76001,4.14E-05,0.075
355.836,1.34E-05,0.075
355.89401,2.51E-05,0.075
355.95499,2.98E-05,0.075
356.02899,3.56E-05,0.075
356.09698,4.03E-05,0.075
356.15701,1.58E-05,0.075
356.22501,2.04E-05,0.075
356.29501,1.11E-05,0.075
356.35501,6.44E-06,0.075
356.423,1.34E-05,0.075
356.48999,2.74E-05,0.075
356.556,6.13E-05,0.075
356.63101,4.61E-05,0.075
356.69101,4.14E-05,0.075
356.75101,4.84E-05,0.075
356.82901,4.38E-05,0.075
356.89301,3.21E-05,0.075
356.948,2.86E-05,0.075
357.02899,2.63E-05,0.075
357.086,2.28E-05,0.075
357.14999,1.93E-05,0.075
357.21899,1.46E-05,0.075
357.28699,-2.89E-06,0.075
357.35901,2.94E-06,0.075
357.41699,1.46E-05,0.075
357.487,2.04E-05,0.075
357.55899,3.56E-05,0.075
357.617,4.73E-05,0.075
357.68399,4.96E-05,0.075
357.755,5.43E-05,0.075
357.82001,4.96E-05,0.075
357.88501,3.56E-05,0.075
357.952,3.21E-05,0.075
358.02301,3.79E-05,0.075
358.086,3.21E-05,0.075
358.14999,2.63E-05,0.075
358.22299,1.58E-05,0.075
358.289,2.39E-05,0.075
358.362,3.21E-05,0.075
358.427,5.78E-05,0.075
358.49799,6.24E-05,0.075
358.565,5.08E-05,0.075
358.63,4.96E-05,0.075
358.69601,5.89E-05,0.075
358.75601,8.11E-05,0.075
358.83099,6.01E-05,0.075
358.89499,6.36E-05,0.075
358.96399,4.73E-05,0.075
359.03101,3.09E-05,0.075
359.09,3.21E-05,0.075
359.15201,9.94E-06,0.075
359.23099,5.27E-06,0.075
359.297,3.56E-05,0.075
359.37201,4.73E-05,0.075
359.43399,3.91E-05,0.075
359.49899,2.86E-05,0.075
359.564,2.16E-05,0.075
359.625,9.28E-05,0.075
359.68799,7.18E-05,0.075
359.759,3.68E-05,0.075
359.83301,2.04E-05,0.075
359.88101,6.44E-06,0.075
359.95901,3.91E-05,0.075
360.022,4.73E-05,0.075
360.091,3.91E-05,0.075
360.15601,2.74E-05,0.075
360.22699,2.51E-05,0.075
