T,Delta,pO2
300.5,8.15E-05,0.0087
300.51001,8.27E-05,0.0087
300.51099,8.27E-05,0.0087
300.50699,8.50E-05,0.0087
300.51099,8.97E-05,0.0087
300.51999,9.43E-05,0.0087
300.51401,9.90E-05,0.0087
300.526,9.90E-05,0.0087
300.53699,9.32E-05,0.0087
300.548,8.85E-05,0.0087
300.561,8.50E-05,0.0087
300.56799,8.15E-05,0.0087
300.58701,7.22E-05,0.0087
300.595,6.52E-05,0.0087
300.61499,6.28E-05,0.0087
300.634,6.40E-05,0.0087
300.65701,6.63E-05,0.0087
300.686,6.98E-05,0.0087
300.70401,7.57E-05,0.0087
300.728,8.27E-05,0.0087
300.75299,8.73E-05,0.0087
300.785,9.08E-05,0.0087
300.81799,9.20E-05,0.0087
300.85599,8.85E-05,0.0087
300.892,8.50E-05,0.0087
300.92401,8.50E-05,0.0087
300.965,7.80E-05,0.0087
301.01199,6.40E-05,0.0087
301.05301,4.77E-05,0.0087
301.09,4.18E-05,0.0087
301.13199,4.07E-05,0.0087
301.18399,4.30E-05,0.0087
301.229,4.77E-05,0.0087
301.276,5.82E-05,0.0087
301.32001,6.98E-05,0.0087
301.366,8.27E-05,0.0087
301.41699,8.85E-05,0.0087
301.46201,8.97E-05,0.0087
301.52301,8.73E-05,0.0087
301.58701,8.50E-05,0.0087
301.63501,7.80E-05,0.0087
301.69101,6.98E-05,0.0087
301.74399,5.82E-05,0.0087
301.80099,4.42E-05,0.0087
301.862,4.30E-05,0.0087
301.92001,4.30E-05,0.0087
301.97601,4.53E-05,0.0087
302.026,5.35E-05,0.0087
302.08099,6.75E-05,0.0087
302.13699,7.80E-05,0.0087
302.19601,8.03E-05,0.0087
302.259,7.80E-05,0.0087
302.31201,8.50E-05,0.0087
302.375,8.97E-05,0.0087
302.42999,8.15E-05,0.0087
302.48901,6.75E-05,0.0087
302.55499,5.58E-05,0.0087
302.61301,5.47E-05,0.0087
302.67899,5.23E-05,0.0087
302.73901,5.00E-05,0.0087
302.80399,4.88E-05,0.0087
302.875,5.47E-05,0.0087
302.931,6.40E-05,0.0087
302.99399,6.98E-05,0.0087
303.06201,7.10E-05,0.0087
303.112,7.57E-05,0.0087
303.18799,8.03E-05,0.0087
303.25101,8.38E-05,0.0087
303.32101,8.73E-05,0.0087
303.38,8.50E-05,0.0087
303.45499,7.92E-05,0.0087
303.51901,7.22E-05,0.0087
303.595,6.40E-05,0.0087
303.664,5.93E-05,0.0087
303.72501,5.00E-05,0.0087
303.798,4.77E-05,0.0087
303.87201,4.88E-05,0.0087
303.94199,6.17E-05,0.0087
304.004,7.45E-05,0.0087
304.08099,8.85E-05,0.0087
304.14801,8.73E-05,0.0087
304.22501,8.62E-05,0.0087
304.29901,8.15E-05,0.0087
304.366,7.80E-05,0.0087
304.444,7.68E-05,0.0087
304.51999,7.33E-05,0.0087
304.59299,6.98E-05,0.0087
304.66,6.40E-05,0.0087
304.74301,5.12E-05,0.0087
304.80701,3.48E-05,0.0087
304.88599,2.55E-05,0.0087
304.957,2.78E-05,0.0087
305.02701,3.60E-05,0.0087
305.104,5.00E-05,0.0087
305.186,6.40E-05,0.0087
305.263,7.80E-05,0.0087
305.33701,8.73E-05,0.0087
305.41199,7.57E-05,0.0087
305.48199,5.58E-05,0.0087
305.55499,3.83E-05,0.0087
305.633,4.42E-05,0.0087
305.70499,6.52E-05,0.0087
305.77802,7.33E-05,0.0087
305.85199,6.98E-05,0.0087
305.93399,5.93E-05,0.0087
306.013,5.58E-05,0.0087
306.07401,5.23E-05,0.0087
306.15302,5.47E-05,0.0087
306.23001,5.47E-05,0.0087
306.30499,5.93E-05,0.0087
306.379,6.40E-05,0.0087
306.452,6.98E-05,0.0087
306.52899,7.45E-05,0.0087
306.604,7.45E-05,0.0087
306.67499,7.22E-05,0.0087
306.754,6.98E-05,0.0087
306.82401,6.75E-05,0.0087
306.89999,6.28E-05,0.0087
306.98001,5.82E-05,0.0087
307.056,5.58E-05,0.0087
307.13,5.58E-05,0.0087
307.202,5.23E-05,0.0087
307.27701,4.88E-05,0.0087
307.35999,4.77E-05,0.0087
307.422,4.88E-05,0.0087
307.50601,5.35E-05,0.0087
307.58301,5.70E-05,0.0087
307.66199,6.05E-05,0.0087
307.73401,6.98E-05,0.0087
307.80499,7.45E-05,0.0087
307.88599,7.45E-05,0.0087
307.96201,7.22E-05,0.0087
308.03799,6.75E-05,0.0087
308.11099,6.40E-05,0.0087
308.18799,6.05E-05,0.0087
308.26599,5.23E-05,0.0087
308.35001,4.30E-05,0.0087
308.41199,4.53E-05,0.0087
308.492,5.12E-05,0.0087
308.56699,5.12E-05,0.0087
308.64001,5.00E-05,0.0087
308.73001,4.53E-05,0.0087
308.798,4.77E-05,0.0087
308.86301,5.47E-05,0.0087
308.94299,6.40E-05,0.0087
309.02701,6.98E-05,0.0087
309.10699,7.10E-05,0.0087
309.173,6.63E-05,0.0087
309.25299,6.40E-05,0.0087
309.32599,5.70E-05,0.0087
309.40201,5.58E-05,0.0087
309.48199,5.12E-05,0.0087
309.54901,4.18E-05,0.0087
309.63699,3.72E-05,0.0087
309.69901,3.83E-05,0.0087
309.78,4.07E-05,0.0087
309.85901,5.12E-05,0.0087
309.92599,6.17E-05,0.0087
310.004,7.22E-05,0.0087
310.07599,7.45E-05,0.0087
310.147,6.63E-05,0.0087
310.23001,6.05E-05,0.0087
310.29901,6.05E-05,0.0087
310.37399,5.70E-05,0.0087
310.45599,5.47E-05,0.0087
310.52701,4.88E-05,0.0087
310.60599,4.53E-05,0.0087
310.67999,4.30E-05,0.0087
310.75101,3.95E-05,0.0087
310.82901,4.07E-05,0.0087
310.89999,4.53E-05,0.0087
310.98099,4.88E-05,0.0087
311.04901,4.53E-05,0.0087
311.13199,4.42E-05,0.0087
311.20901,4.53E-05,0.0087
311.27802,4.88E-05,0.0087
311.35001,4.88E-05,0.0087
311.42099,4.53E-05,0.0087
311.50201,3.95E-05,0.0087
311.577,3.60E-05,0.0087
311.63699,3.48E-05,0.0087
311.72501,3.37E-05,0.0087
311.79401,3.60E-05,0.0087
311.86499,3.48E-05,0.0087
311.93799,3.25E-05,0.0087
312.02399,3.13E-05,0.0087
312.09399,3.37E-05,0.0087
312.172,3.95E-05,0.0087
312.242,4.53E-05,0.0087
312.31699,5.12E-05,0.0087
312.39401,5.35E-05,0.0087
312.46701,5.12E-05,0.0087
312.53699,5.00E-05,0.0087
312.60999,4.88E-05,0.0087
312.681,4.53E-05,0.0087
312.74899,3.60E-05,0.0087
312.83801,2.78E-05,0.0087
312.91199,1.73E-05,0.0087
312.98599,1.85E-05,0.0087
313.056,2.32E-05,0.0087
313.12601,2.78E-05,0.0087
313.20599,3.13E-05,0.0087
313.26901,3.60E-05,0.0087
313.34601,4.53E-05,0.0087
313.427,5.70E-05,0.0087
313.49301,6.40E-05,0.0087
313.57001,6.40E-05,0.0087
313.63699,6.05E-05,0.0087
313.70999,5.47E-05,0.0087
313.78299,4.30E-05,0.0087
313.85501,2.78E-05,0.0087
313.923,1.62E-05,0.0087
313.99899,9.16E-06,0.0087
314.06799,8.00E-06,0.0087
314.14899,8.00E-06,0.0087
314.22299,1.03E-05,0.0087
314.30099,1.73E-05,0.0087
314.37201,2.90E-05,0.0087
314.44,4.88E-05,0.0087
314.517,5.23E-05,0.0087
314.59299,5.12E-05,0.0087
314.65302,5.23E-05,0.0087
314.72601,5.58E-05,0.0087
314.80099,5.82E-05,0.0087
314.879,4.77E-05,0.0087
314.95401,3.95E-05,0.0087
315.022,3.37E-05,0.0087
315.099,3.48E-05,0.0087
315.168,3.02E-05,0.0087
315.23999,3.02E-05,0.0087
315.311,2.90E-05,0.0087
315.38501,3.02E-05,0.0087
315.457,3.13E-05,0.0087
315.53201,3.25E-05,0.0087
315.608,3.02E-05,0.0087
315.67801,3.02E-05,0.0087
315.741,3.02E-05,0.0087
315.823,3.37E-05,0.0087
315.888,3.02E-05,0.0087
