T,Delta,pO2
300.5,1.31E-04,0.15
300.49899,1.41E-04,0.15
300.505,1.44E-04,0.15
300.49899,1.43E-04,0.15
300.50101,1.39E-04,0.15
300.50601,1.39E-04,0.15
300.51099,1.45E-04,0.15
300.51099,1.40E-04,0.15
300.52701,1.27E-04,0.15
300.535,1.32E-04,0.15
300.53601,1.34E-04,0.15
300.54999,1.33E-04,0.15
300.57401,1.37E-04,0.15
300.57501,1.43E-04,0.15
300.58701,1.27E-04,0.15
300.60999,1.27E-04,0.15
300.63,1.37E-04,0.15
300.651,1.64E-04,0.15
300.67001,1.51E-04,0.15
300.69601,1.38E-04,0.15
300.72501,1.40E-04,0.15
300.75201,1.40E-04,0.15
300.78699,1.39E-04,0.15
300.82001,1.37E-04,0.15
300.85199,1.34E-04,0.15
300.884,1.38E-04,0.15
300.91699,1.40E-04,0.15
300.953,1.41E-04,0.15
300.99399,1.34E-04,0.15
301.04401,1.44E-04,0.15
301.08701,1.48E-04,0.15
301.12299,1.32E-04,0.15
301.159,1.32E-04,0.15
301.20999,1.39E-04,0.15
301.25201,1.37E-04,0.15
301.29401,1.24E-04,0.15
301.34799,1.43E-04,0.15
301.39401,1.40E-04,0.15
301.448,1.27E-04,0.15
301.495,1.41E-04,0.15
301.54099,1.37E-04,0.15
301.595,1.33E-04,0.15
301.64401,1.37E-04,0.15
301.694,1.37E-04,0.15
301.746,1.43E-04,0.15
301.802,1.53E-04,0.15
301.858,1.45E-04,0.15
301.91901,1.43E-04,0.15
301.965,1.46E-04,0.15
302.01801,1.44E-04,0.15
302.07001,1.36E-04,0.15
302.12,1.31E-04,0.15
302.17499,1.36E-04,0.15
302.22699,1.30E-04,0.15
302.29199,1.29E-04,0.15
302.34601,1.33E-04,0.15
302.396,1.25E-04,0.15
302.448,1.29E-04,0.15
302.51501,1.41E-04,0.15
302.57401,1.36E-04,0.15
302.62601,1.36E-04,0.15
302.69299,1.45E-04,0.15
302.75,1.40E-04,0.15
302.82101,1.40E-04,0.15
302.87701,1.45E-04,0.15
302.92999,1.41E-04,0.15
303.005,1.38E-04,0.15
303.06201,1.40E-04,0.15
303.138,1.30E-04,0.15
303.19901,1.23E-04,0.15
303.267,1.30E-04,0.15
303.332,1.32E-04,0.15
303.397,1.33E-04,0.15
303.46301,1.34E-04,0.15
303.539,1.45E-04,0.15
303.60199,1.37E-04,0.15
303.677,1.38E-04,0.15
303.74899,1.38E-04,0.15
303.80701,1.37E-04,0.15
303.88101,1.43E-04,0.15
303.953,1.34E-04,0.15
304.02399,1.39E-04,0.15
304.09399,1.39E-04,0.15
304.172,1.09E-04,0.15
304.242,1.22E-04,0.15
304.31799,1.37E-04,0.15
304.40201,1.34E-04,0.15
304.46301,1.36E-04,0.15
304.539,1.24E-04,0.15
304.60599,1.47E-04,0.15
304.67999,1.37E-04,0.15
304.755,1.51E-04,0.15
304.82599,1.37E-04,0.15
304.89499,1.32E-04,0.15
304.97601,1.51E-04,0.15
305.03699,1.27E-04,0.15
305.117,1.30E-04,0.15
305.18301,1.33E-04,0.15
305.26599,1.18E-04,0.15
305.33701,1.18E-04,0.15
305.41,1.30E-04,0.15
305.474,1.36E-04,0.15
305.561,1.37E-04,0.15
305.62399,1.36E-04,0.15
305.70401,1.33E-04,0.15
305.77499,1.37E-04,0.15
305.85199,1.39E-04,0.15
305.918,1.36E-04,0.15
305.99399,1.45E-04,0.15
306.08301,1.41E-04,0.15
306.155,1.43E-04,0.15
306.23199,1.37E-04,0.15
306.311,1.39E-04,0.15
306.379,1.33E-04,0.15
306.448,1.27E-04,0.15
306.53,1.23E-04,0.15
306.599,1.17E-04,0.15
306.67499,1.30E-04,0.15
306.75201,1.25E-04,0.15
306.82401,1.31E-04,0.15
306.905,1.36E-04,0.15
306.98001,1.38E-04,0.15
307.052,1.39E-04,0.15
307.13699,1.43E-04,0.15
307.20999,1.43E-04,0.15
307.28799,1.25E-04,0.15
307.367,1.24E-04,0.15
307.448,1.24E-04,0.15
307.521,1.17E-04,0.15
307.59601,1.15E-04,0.15
307.67001,1.26E-04,0.15
307.75699,1.16E-04,0.15
307.828,1.22E-04,0.15
307.91599,1.39E-04,0.15
307.99399,1.38E-04,0.15
308.05899,1.36E-04,0.15
308.13,1.43E-04,0.15
308.20801,1.51E-04,0.15
308.29501,1.39E-04,0.15
308.35901,1.33E-04,0.15
308.43701,1.29E-04,0.15
308.51001,1.25E-04,0.15
308.59399,1.27E-04,0.15
308.66,1.25E-04,0.15
308.741,1.17E-04,0.15
308.81,1.03E-04,0.15
308.896,1.09E-04,0.15
308.96301,1.22E-04,0.15
309.04599,1.30E-04,0.15
309.12299,1.37E-04,0.15
309.20401,1.37E-04,0.15
309.272,1.36E-04,0.15
309.34799,1.44E-04,0.15
309.42499,1.26E-04,0.15
309.49701,1.19E-04,0.15
309.57901,1.27E-04,0.15
309.64401,1.22E-04,0.15
309.72601,1.12E-04,0.15
309.80099,1.05E-04,0.15
309.87299,1.01E-04,0.15
309.95099,1.01E-04,0.15
310.03101,1.05E-04,0.15
310.10001,1.24E-04,0.15
310.177,1.39E-04,0.15
310.255,1.43E-04,0.15
310.33099,1.32E-04,0.15
310.40399,1.22E-04,0.15
310.47101,1.20E-04,0.15
310.56,1.18E-04,0.15
310.62701,1.15E-04,0.15
310.702,1.16E-04,0.15
310.77499,1.15E-04,0.15
310.85001,1.12E-04,0.15
310.93301,1.09E-04,0.15
311.01599,9.70E-05,0.15
311.08301,1.20E-04,0.15
311.15601,1.18E-04,0.15
311.22299,1.19E-04,0.15
311.30899,1.20E-04,0.15
311.384,1.18E-04,0.15
311.457,1.17E-04,0.15
311.53,1.22E-04,0.15
311.60599,1.24E-04,0.15
311.68301,1.13E-04,0.15
311.75299,1.22E-04,0.15
311.83099,1.18E-04,0.15
311.905,1.08E-04,0.15
311.98199,9.47E-05,0.15
312.061,9.70E-05,0.15
312.13501,1.19E-04,0.15
312.21301,1.10E-04,0.15
312.28101,1.06E-04,0.15
312.35501,1.20E-04,0.15
312.43201,1.08E-04,0.15
312.50601,1.05E-04,0.15
312.573,1.26E-04,0.15
312.646,1.22E-04,0.15
312.728,1.17E-04,0.15
312.80701,1.24E-04,0.15
312.875,1.06E-04,0.15
312.94299,1.12E-04,0.15
313.02499,1.22E-04,0.15
313.09299,1.12E-04,0.15
313.172,1.03E-04,0.15
313.24399,1.03E-04,0.15
313.32001,1.04E-04,0.15
313.38901,1.02E-04,0.15
313.46201,1.08E-04,0.15
313.539,1.06E-04,0.15
313.612,1.06E-04,0.15
313.689,1.11E-04,0.15
313.76401,1.10E-04,0.15
313.82999,1.12E-04,0.15
313.90601,1.16E-04,0.15
313.983,1.18E-04,0.15
314.05301,1.22E-04,0.15
314.12799,1.16E-04,0.15
314.19101,1.10E-04,0.15
314.26599,9.70E-05,0.15
314.35101,8.54E-05,0.15
314.42599,1.12E-04,0.15
314.495,1.04E-04,0.15
314.569,1.05E-04,0.15
314.64099,1.24E-04,0.15
