T,Delta,pO2
312.77301,-2.73E-05,0.208
312.84799,-1.68E-05,0.208
312.92099,-2.15E-05,0.208
312.98599,-1.10E-05,0.208
313.061,-1.10E-05,0.208
313.14099,-1.68E-05,0.208
313.216,-1.22E-05,0.208
313.276,-7.50E-06,0.208
313.349,-1.92E-05,0.208
313.42599,-9.84E-06,0.208
313.49899,-5.04E-07,0.208
313.57901,4.16E-06,0.208
313.65201,-6.34E-06,0.208
313.72501,-5.04E-07,0.208
313.80099,-2.15E-05,0.208
313.87601,-1.92E-05,0.208
313.952,-5.65E-05,0.208
314.01401,-4.95E-05,0.208
314.10001,6.62E-07,0.208
314.16699,-2.38E-05,0.208
314.24301,-1.22E-05,0.208
314.31201,-5.04E-07,0.208
314.38199,1.47E-05,0.208
314.45401,-2.15E-05,0.208
314.52899,-2.84E-06,0.208
314.59698,-1.10E-05,0.208
314.67599,-1.45E-05,0.208
314.74899,-1.45E-05,0.208
314.82199,-1.68E-05,0.208
314.89499,-9.84E-06,0.208
314.96301,-6.34E-06,0.208
315.035,3.00E-06,0.208
315.108,-2.84E-06,0.208
315.18701,4.16E-06,0.208
315.25299,-1.45E-05,0.208
315.32199,-8.67E-06,0.208
315.39899,-1.33E-05,0.208
315.47601,-4.13E-05,0.208
315.54401,-4.60E-05,0.208
315.61401,-2.38E-05,0.208
315.67999,-9.84E-06,0.208
315.75201,-1.45E-05,0.208
315.832,-1.45E-05,0.208
315.91101,-2.73E-05,0.208
315.98001,-2.85E-05,0.208
316.05301,-2.27E-05,0.208
316.13,-1.57E-05,0.208
316.202,1.12E-05,0.208
316.276,-6.34E-06,0.208
316.35901,-8.67E-06,0.208
316.42599,-2.84E-06,0.208
316.49301,-2.15E-05,0.208
316.565,-3.43E-05,0.208
316.63599,-2.73E-05,0.208
316.711,-1.22E-05,0.208
316.77802,-1.22E-05,0.208
316.854,-1.68E-05,0.208
316.92801,-2.03E-05,0.208
316.99399,-2.38E-05,0.208
317.07199,-4.02E-05,0.208
317.14999,-4.13E-05,0.208
317.228,-2.62E-05,0.208
317.28699,-1.33E-05,0.208
317.37,-2.03E-05,0.208
317.44,-2.97E-05,0.208
317.51599,-1.80E-05,0.208
317.591,-1.67E-06,0.208
317.65799,-2.03E-05,0.208
317.72601,-2.62E-05,0.208
317.789,-2.97E-05,0.208
317.87701,-2.85E-05,0.208
317.94299,-2.03E-05,0.208
318.01401,-1.80E-05,0.208
318.09601,-1.57E-05,0.208
318.164,-1.68E-05,0.208
318.23401,-3.20E-05,0.208
318.30499,-3.20E-05,0.208
318.375,-2.97E-05,0.208
318.44299,-2.62E-05,0.208
318.52301,-3.43E-05,0.208
318.59201,-3.90E-05,0.208
318.66101,-3.32E-05,0.208
318.73199,-2.27E-05,0.208
318.79999,-6.34E-06,0.208
318.86801,-5.04E-07,0.208
318.94199,-6.34E-06,0.208
319.01501,-2.15E-05,0.208
319.08701,-2.15E-05,0.208
319.16,-1.68E-05,0.208
319.23099,-2.15E-05,0.208
319.29901,-5.77E-05,0.208
319.36899,-2.62E-05,0.208
319.43701,-2.73E-05,0.208
319.49899,-2.62E-05,0.208
319.582,-2.62E-05,0.208
319.642,-4.60E-05,0.208
319.711,-3.90E-05,0.208
319.784,-2.97E-05,0.208
319.858,-3.78E-05,0.208
319.92099,-3.20E-05,0.208
319.99799,-3.32E-05,0.208
320.05701,-2.73E-05,0.208
320.13599,-1.22E-05,0.208
320.198,-1.80E-05,0.208
320.27399,-1.45E-05,0.208
320.34399,-1.10E-05,0.208
320.414,-1.22E-05,0.208
320.48801,-2.97E-05,0.208
320.548,-3.08E-05,0.208
320.61099,-4.48E-05,0.208
320.689,-6.35E-05,0.208
320.75101,-6.12E-05,0.208
320.83801,-5.07E-05,0.208
320.89899,-6.00E-05,0.208
320.97501,-3.78E-05,0.208
321.04401,-5.17E-06,0.208
321.11899,-3.20E-05,0.208
321.181,-3.55E-05,0.208
321.25101,-3.32E-05,0.208
321.31601,-3.08E-05,0.208
321.38501,-1.10E-05,0.208
321.46799,-2.73E-05,0.208
321.53201,-4.48E-05,0.208
321.60699,-4.02E-05,0.208
321.67899,-5.42E-05,0.208
321.75101,-5.42E-05,0.208
321.81799,-4.95E-05,0.208
321.88699,-4.48E-05,0.208
321.95599,-5.07E-05,0.208
322.02701,-6.47E-05,0.208
322.09799,-4.72E-05,0.208
322.17001,-3.20E-05,0.208
322.245,-2.97E-05,0.208
322.31601,-2.73E-05,0.208
322.38599,-1.92E-05,0.208
322.44699,-2.62E-05,0.208
322.522,-1.80E-05,0.208
322.591,-3.67E-05,0.208
322.66699,-4.72E-05,0.208
322.73401,-6.35E-05,0.208
322.798,-6.00E-05,0.208
322.87201,-4.48E-05,0.208
322.939,-1.45E-05,0.208
323.004,-3.32E-05,0.208
323.08401,-4.25E-05,0.208
323.13901,-8.67E-06,0.208
323.20901,-2.38E-05,0.208
323.293,-2.62E-05,0.208
323.358,-2.15E-05,0.208
323.42499,-4.48E-05,0.208
323.49399,-6.23E-05,0.208
323.55701,-6.93E-05,0.208
323.629,-3.67E-05,0.208
323.707,-1.45E-05,0.208
323.77301,-2.27E-05,0.208
323.841,-2.85E-05,0.208
323.91199,-3.90E-05,0.208
323.98199,-5.53E-05,0.208
324.05801,-4.72E-05,0.208
324.11801,-4.25E-05,0.208
324.189,-5.42E-05,0.208
324.254,-4.02E-05,0.208
324.327,-3.20E-05,0.208
324.396,-3.32E-05,0.208
324.45901,-2.97E-05,0.208
324.53101,-2.73E-05,0.208
324.60199,-5.30E-05,0.208
324.67401,-4.37E-05,0.208
324.74301,-6.35E-05,0.208
324.814,-4.25E-05,0.208
324.88501,-4.37E-05,0.208
324.94601,-5.42E-05,0.208
325.01801,-4.83E-05,0.208
325.09299,-6.47E-05,0.208
